Symbol,Name,Sector,Market Cap
AAV.TO,Canada Stock,Unknown,500000000
AEM.TO,Canada Stock,Unknown,500000000
AC.TO,Canada Stock,Unknown,500000000
AGI.TO,Canada Stock,Unknown,500000000
ASTL.TO,Canada Stock,Unknown,500000000
AQN.TO,Canada Stock,Unknown,500000000
ATD.TO,Canada Stock,Unknown,500000000
AP-UN.TO,Canada Stock,Unknown,500000000
ALA.TO,Canada Stock,Unknown,500000000
AIF.TO,Canada Stock,Unknown,500000000
ARX.TO,Canada Stock,Unknown,500000000
ATZ.TO,Canada Stock,Unknown,500000000
ACO-X.TO,Canada Stock,Unknown,500000000
ATH.TO,Canada Stock,Unknown,500000000
ATRL.TO,Canada Stock,Unknown,500000000
ATS.TO,Canada Stock,Unknown,500000000
AYA.TO,Canada Stock,Unknown,500000000
BTO.TO,Canada Stock,Unknown,500000000
BDGI.TO,Canada Stock,Unknown,500000000
BMO.TO,Canada Stock,Unknown,500000000
BNS.TO,Canada Stock,Unknown,500000000
ABX.TO,Canada Stock,Unknown,500000000
BHC.TO,Canada Stock,Unknown,500000000
BTE.TO,Canada Stock,Unknown,500000000
BCE.TO,Canada Stock,Unknown,500000000
BIR.TO,Canada Stock,Unknown,500000000
BDT.TO,Canada Stock,Unknown,500000000
BB.TO,Canada Stock,Unknown,500000000
BEI-UN.TO,Canada Stock,Unknown,500000000
BBD-B.TO,Canada Stock,Unknown,500000000
BLX.TO,Canada Stock,Unknown,500000000
BYD.TO,Canada Stock,Unknown,500000000
BAM.TO,Canada Stock,Unknown,500000000
BBU-UN.TO,Canada Stock,Unknown,500000000
BN.TO,Canada Stock,Unknown,500000000
BIP-UN.TO,Canada Stock,Unknown,500000000
BEP-UN.TO,Canada Stock,Unknown,500000000
DOO.TO,Canada Stock,Unknown,500000000
CAE.TO,Canada Stock,Unknown,500000000
CXB.TO,Canada Stock,Unknown,500000000
CCO.TO,Canada Stock,Unknown,500000000
CAR-UN.TO,Canada Stock,Unknown,500000000
CM.TO,Canada Stock,Unknown,500000000
CNR.TO,Canada Stock,Unknown,500000000
CNQ.TO,Canada Stock,Unknown,500000000
CP.TO,Canada Stock,Unknown,500000000
CTC-A.TO,Canada Stock,Unknown,500000000
CU.TO,Canada Stock,Unknown,500000000
CWB.TO,Canada Stock,Unknown,500000000
CPX.TO,Canada Stock,Unknown,500000000
CS.TO,Canada Stock,Unknown,500000000
CJT.TO,Canada Stock,Unknown,500000000
CCL-B.TO,Canada Stock,Unknown,500000000
CLS.TO,Canada Stock,Unknown,500000000
CVE.TO,Canada Stock,Unknown,500000000
CG.TO,Canada Stock,Unknown,500000000
CEU.TO,Canada Stock,Unknown,500000000
GIB-A.TO,Canada Stock,Unknown,500000000
CSH-UN.TO,Canada Stock,Unknown,500000000
CHP-UN.TO,Canada Stock,Unknown,500000000
CIX.TO,Canada Stock,Unknown,500000000
CCA.TO,Canada Stock,Unknown,500000000
CIGI.TO,Canada Stock,Unknown,500000000
CSU.TO,Canada Stock,Unknown,500000000
CRR-UN.TO,Canada Stock,Unknown,500000000
CRT-UN.TO,Canada Stock,Unknown,500000000
DFY.TO,Canada Stock,Unknown,500000000
DML.TO,Canada Stock,Unknown,500000000
DSG.TO,Canada Stock,Unknown,500000000
DOL.TO,Canada Stock,Unknown,500000000
DIR-UN.TO,Canada Stock,Unknown,500000000
DPM.TO,Canada Stock,Unknown,500000000
ELD.TO,Canada Stock,Unknown,500000000
EFN.TO,Canada Stock,Unknown,500000000
EMA.TO,Canada Stock,Unknown,500000000
EMP-A.TO,Canada Stock,Unknown,500000000
ENB.TO,Canada Stock,Unknown,500000000
EFR.TO,Canada Stock,Unknown,500000000
ENGH.TO,Canada Stock,Unknown,500000000
EQB.TO,Canada Stock,Unknown,500000000
EQX.TO,Canada Stock,Unknown,500000000
ERO.TO,Canada Stock,Unknown,500000000
EIF.TO,Canada Stock,Unknown,500000000
FFH.TO,Canada Stock,Unknown,500000000
FIL.TO,Canada Stock,Unknown,500000000
FTT.TO,Canada Stock,Unknown,500000000
FCR-UN.TO,Canada Stock,Unknown,500000000
AG.TO,Canada Stock,Unknown,500000000
FM.TO,Canada Stock,Unknown,500000000
FSV.TO,Canada Stock,Unknown,500000000
FTS.TO,Canada Stock,Unknown,500000000
FVI.TO,Canada Stock,Unknown,500000000
FNV.TO,Canada Stock,Unknown,500000000
FRU.TO,Canada Stock,Unknown,500000000
WN.TO,Canada Stock,Unknown,500000000
GFL.TO,Canada Stock,Unknown,500000000
GEI.TO,Canada Stock,Unknown,500000000
GIL.TO,Canada Stock,Unknown,500000000
GSY.TO,Canada Stock,Unknown,500000000
GRT-UN.TO,Canada Stock,Unknown,500000000
GWO.TO,Canada Stock,Unknown,500000000
HR-UN.TO,Canada Stock,Unknown,500000000
HWX.TO,Canada Stock,Unknown,500000000
HBM.TO,Canada Stock,Unknown,500000000
H.TO,Canada Stock,Unknown,500000000
IAG.TO,Canada Stock,Unknown,500000000
IMG.TO,Canada Stock,Unknown,500000000
IGM.TO,Canada Stock,Unknown,500000000
IMO.TO,Canada Stock,Unknown,500000000
INE.TO,Canada Stock,Unknown,500000000
IFC.TO,Canada Stock,Unknown,500000000
IFP.TO,Canada Stock,Unknown,500000000
IPCO.TO,Canada Stock,Unknown,500000000
IIP-UN.TO,Canada Stock,Unknown,500000000
IVN.TO,Canada Stock,Unknown,500000000
JWEL.TO,Canada Stock,Unknown,500000000
KNT.TO,Canada Stock,Unknown,500000000
KEL.TO,Canada Stock,Unknown,500000000
KEY.TO,Canada Stock,Unknown,500000000
KMP-UN.TO,Canada Stock,Unknown,500000000
KXS.TO,Canada Stock,Unknown,500000000
K.TO,Canada Stock,Unknown,500000000
LIF.TO,Canada Stock,Unknown,500000000
LB.TO,Canada Stock,Unknown,500000000
LSPD.TO,Canada Stock,Unknown,500000000
LNR.TO,Canada Stock,Unknown,500000000
L.TO,Canada Stock,Unknown,500000000
LUG.TO,Canada Stock,Unknown,500000000
LUN.TO,Canada Stock,Unknown,500000000
MAG.TO,Canada Stock,Unknown,500000000
MG.TO,Canada Stock,Unknown,500000000
MFC.TO,Canada Stock,Unknown,500000000
MFI.TO,Canada Stock,Unknown,500000000
MATR.TO,Canada Stock,Unknown,500000000
MDA.TO,Canada Stock,Unknown,500000000
MEG.TO,Canada Stock,Unknown,500000000
MX.TO,Canada Stock,Unknown,500000000
MRU.TO,Canada Stock,Unknown,500000000
MTY.TO,Canada Stock,Unknown,500000000
MTL.TO,Canada Stock,Unknown,500000000
NA.TO,Canada Stock,Unknown,500000000
NGD.TO,Canada Stock,Unknown,500000000
NXE.TO,Canada Stock,Unknown,500000000
NFI.TO,Canada Stock,Unknown,500000000
NWC.TO,Canada Stock,Unknown,500000000
